"","location","year","tech_jobs","all_jobs","percentage","growth"
"535",90046,2006,1319,12105,9.17740712661107,0.0156069174782376
"536",90046,2007,1372,12815,9.34037900874636,0.0177579440344027
"537",90046,2008,1252,12992,10.3769968051118,0.110982412533236
"538",90046,2009,916,11930,13.0240174672489,0.255085427108654
"539",90046,2010,1145,12982,11.3379912663755,-0.129455155071249
"540",90046,2011,1243,13941,11.2156074014481,-0.0107941399893631
"541",90046,2012,1368,14223,10.3969298245614,-0.0729944930830051
"542",90046,2013,1451,16706,11.513439007581,0.107388354241073
"543",90046,2014,1648,17021,10.3282766990291,-0.102937298557928
"544",90046,2015,1929,17719,9.18558838776568,-0.110636880145829
"545",90046,2016,2198,17949,8.16606005459509,-0.11099216404346
"546",90046,2017,2216,18734,8.45397111913357,0.0352570349242627
"547",90047,2005,63,4019,63.7936507936508,NA
"548",90047,2006,80,4112,51.4,-0.19427718337895
"549",90047,2007,88,4176,47.4545454545455,-0.0767598160594273
"550",90047,2008,71,4111,57.9014084507042,0.220144622524419
"551",90047,2009,35,3712,106.057142857143,0.83168502623623
"552",90047,2010,26,4473,172.038461538462,0.622129890583555
"553",90047,2011,58,4310,74.3103448275862,-0.568059699191316
"554",90047,2012,78,4329,55.5,-0.253132250580047
"555",90047,2013,69,5482,79.4492753623188,0.431518474996736
"556",90047,2014,89,5683,63.8539325842697,-0.196293077651476
"557",90047,2015,77,5693,73.9350649350649,0.157878018515006
"558",90047,2016,73,5751,78.7808219178082,0.0655407145039926
"559",90047,2017,97,6091,62.7938144329897,-0.202930194121327
"560",90048,2005,3997,33322,8.33675256442332,NA
"561",90048,2006,4229,34023,8.04516434145188,-0.0349762357366554
"562",90048,2007,6507,37425,5.75149838635316,-0.285098707465905
"563",90048,2008,6884,37416,5.43521208599651,-0.0549919828034918
"564",90048,2009,5053,32911,6.51316049871364,0.198326835395143
"565",90048,2010,5249,33486,6.37950085730615,-0.0205214720923704
"566",90048,2011,5468,34453,6.3008412582297,-0.0123300554127787
"567",90048,2012,5783,35460,6.13176551962649,-0.0268338356219296
"568",90048,2013,3483,33658,9.66350846971002,0.575974886642218
"569",90048,2014,3116,36989,11.8706675224647,0.228401419595477
"570",90048,2015,3324,38053,11.4479542719615,-0.0356098972280408
"571",90048,2016,3252,35514,10.9206642066421,-0.0460597634121295
"572",90048,2017,3235,36081,11.1533230293663,0.0213044571577188
"573",90049,2005,6868,23689,3.44918462434479,NA
"574",90049,2006,5466,21864,4,0.159694372915699
"575",90049,2007,5416,18893,3.48836779911374,-0.127908050221566
"576",90049,2008,6887,20461,2.97095977929432,-0.14832381492309
"577",90049,2009,5113,18628,3.64326227263837,0.226291348011362
"578",90049,2010,3246,17716,5.45779420825632,0.498051416513557
