"","GEOID","NAME","variable","estimate","moe"
"370","01773","ZCTA5 01773","medincome",143505,14619
"371","01775","ZCTA5 01775","medincome",146799,21475
"372","01776","ZCTA5 01776","medincome",164013,7826
"373","01778","ZCTA5 01778","medincome",157005,13022
"374","01801","ZCTA5 01801","medincome",84479,5361
"375","01803","ZCTA5 01803","medincome",92141,4821
"376","01810","ZCTA5 01810","medincome",134627,6226
"377","01821","ZCTA5 01821","medincome",100158,6556
"378","01824","ZCTA5 01824","medincome",109638,6103
"379","01826","ZCTA5 01826","medincome",86884,8433
"380","01827","ZCTA5 01827","medincome",118984,8458
"381","01830","ZCTA5 01830","medincome",57917,4035
"382","01832","ZCTA5 01832","medincome",63078,4430
"383","01833","ZCTA5 01833","medincome",106016,11766
"384","01834","ZCTA5 01834","medincome",96512,5329
"385","01835","ZCTA5 01835","medincome",71827,5321
"386","01840","ZCTA5 01840","medincome",19855,3596
"387","01841","ZCTA5 01841","medincome",34636,2652
"388","01843","ZCTA5 01843","medincome",42707,4613
"389","01844","ZCTA5 01844","medincome",72664,4329
"390","01845","ZCTA5 01845","medincome",102008,5376
"391","01850","ZCTA5 01850","medincome",42437,6212
"392","01851","ZCTA5 01851","medincome",49583,3998
"393","01852","ZCTA5 01852","medincome",50348,3196
"394","01854","ZCTA5 01854","medincome",40229,5012
"395","01860","ZCTA5 01860","medincome",77481,18572
"396","01862","ZCTA5 01862","medincome",102330,13068
"397","01863","ZCTA5 01863","medincome",80538,9172
"398","01864","ZCTA5 01864","medincome",119933,10809
"399","01867","ZCTA5 01867","medincome",110043,5974
"400","01876","ZCTA5 01876","medincome",93016,4257
"401","01879","ZCTA5 01879","medincome",99325,18434
"402","01880","ZCTA5 01880","medincome",92474,5496
"403","01886","ZCTA5 01886","medincome",130739,10983
"404","01887","ZCTA5 01887","medincome",102301,6192
"405","01890","ZCTA5 01890","medincome",149321,13377
"406","01901","ZCTA5 01901","medincome",21905,3858
"407","01902","ZCTA5 01902","medincome",39654,2689
"408","01904","ZCTA5 01904","medincome",86477,4080
"409","01905","ZCTA5 01905","medincome",55185,4728
"410","01906","ZCTA5 01906","medincome",78372,5171
"411","01907","ZCTA5 01907","medincome",103064,5782
"412","01908","ZCTA5 01908","medincome",72625,11472
"413","01913","ZCTA5 01913","medincome",75861,4373
"414","01915","ZCTA5 01915","medincome",73839,3871
"415","01921","ZCTA5 01921","medincome",153578,30387
"416","01922","ZCTA5 01922","medincome",86806,50542
"417","01923","ZCTA5 01923","medincome",79913,5003
"418","01929","ZCTA5 01929","medincome",103750,14701
"419","01930","ZCTA5 01930","medincome",63917,4457
"420","01937","ZCTA5 01937","medincome",NA,NA
"421","01938","ZCTA5 01938","medincome",77788,6831
"422","01940","ZCTA5 01940","medincome",112151,6463
"423","01944","ZCTA5 01944","medincome",92604,17425
"424","01945","ZCTA5 01945","medincome",103148,8031
"425","01949","ZCTA5 01949","medincome",106326,11439
"426","01950","ZCTA5 01950","medincome",87162,5881
"427","01951","ZCTA5 01951","medincome",93040,14243
"428","01952","ZCTA5 01952","medincome",65903,11501
"429","01960","ZCTA5 01960","medincome",63822,3111
"430","01966","ZCTA5 01966","medincome",68448,6940
"431","01969","ZCTA5 01969","medincome",85496,6992
"432","01970","ZCTA5 01970","medincome",61035,3076
"433","01982","ZCTA5 01982","medincome",114907,15957
"434","01983","ZCTA5 01983","medincome",128283,12557
"435","01984","ZCTA5 01984","medincome",99375,17329
"436","01985","ZCTA5 01985","medincome",138947,17985
"437","02019","ZCTA5 02019","medincome",90630,5857
"438","02021","ZCTA5 02021","medincome",93672,6439
"439","02025","ZCTA5 02025","medincome",128224,19662
"440","02026","ZCTA5 02026","medincome",87108,5019
"441","02030","ZCTA5 02030","medincome",189265,21304
"442","02032","ZCTA5 02032","medincome",100658,17873
"443","02035","ZCTA5 02035","medincome",95665,4635
"444","02038","ZCTA5 02038","medincome",108815,6951
"445","02043","ZCTA5 02043","medincome",118148,13567
"446","02045","ZCTA5 02045","medincome",78114,7514
"447","02047","ZCTA5 02047","medincome",NA,NA
"448","02048","ZCTA5 02048","medincome",102090,5223
"449","02050","ZCTA5 02050","medincome",84747,9285
"450","02052","ZCTA5 02052","medincome",147630,13348
"451","02053","ZCTA5 02053","medincome",109865,7969
"452","02054","ZCTA5 02054","medincome",97591,13092
"453","02056","ZCTA5 02056","medincome",138452,13161
"454","02061","ZCTA5 02061","medincome",114560,8123
"455","02062","ZCTA5 02062","medincome",83883,3444
"456","02066","ZCTA5 02066","medincome",110492,11277
"457","02067","ZCTA5 02067","medincome",129609,10496
"458","02071","ZCTA5 02071","medincome",105865,27451
"459","02072","ZCTA5 02072","medincome",75109,4468
"460","02081","ZCTA5 02081","medincome",95592,10366
"461","02090","ZCTA5 02090","medincome",140355,16254
"462","02093","ZCTA5 02093","medincome",99924,9324
"463","02108","ZCTA5 02108","medincome",115042,16694
"464","02109","ZCTA5 02109","medincome",117344,23290
"465","02110","ZCTA5 02110","medincome",120800,42345
"466","02111","ZCTA5 02111","medincome",39670,13258
"467","02113","ZCTA5 02113","medincome",86094,7615
"468","02114","ZCTA5 02114","medincome",86863,8738
"469","02115","ZCTA5 02115","medincome",35274,5268
"470","02116","ZCTA5 02116","medincome",100674,6021
"471","02118","ZCTA5 02118","medincome",59589,8491
"472","02119","ZCTA5 02119","medincome",30278,3311
"473","02120","ZCTA5 02120","medincome",29592,2958
"474","02121","ZCTA5 02121","medincome",26313,1291
"475","02122","ZCTA5 02122","medincome",53103,3980
"476","02124","ZCTA5 02124","medincome",50044,3476
"477","02125","ZCTA5 02125","medincome",49683,3911
"478","02126","ZCTA5 02126","medincome",47902,2591
"479","02127","ZCTA5 02127","medincome",85336,5059
"480","02128","ZCTA5 02128","medincome",52152,2183
"481","02129","ZCTA5 02129","medincome",90674,7494
"482","02130","ZCTA5 02130","medincome",79419,4449
"483","02131","ZCTA5 02131","medincome",68655,4256
"484","02132","ZCTA5 02132","medincome",91273,4724
"485","02134","ZCTA5 02134","medincome",47485,4417
"486","02135","ZCTA5 02135","medincome",57330,2463
"487","02136","ZCTA5 02136","medincome",62114,2724
"488","02138","ZCTA5 02138","medincome",84305,5544
"489","02139","ZCTA5 02139","medincome",82953,4941
"490","02140","ZCTA5 02140","medincome",85417,7976
"491","02141","ZCTA5 02141","medincome",73322,6654
"492","02142","ZCTA5 02142","medincome",113950,24135
"493","02143","ZCTA5 02143","medincome",80961,4694
"494","02144","ZCTA5 02144","medincome",93234,5057
"495","02145","ZCTA5 02145","medincome",62752,6294
"496","02148","ZCTA5 02148","medincome",60045,3083
"497","02149","ZCTA5 02149","medincome",52427,3094
"498","02150","ZCTA5 02150","medincome",49643,3440
"499","02151","ZCTA5 02151","medincome",51468,2008
"500","02152","ZCTA5 02152","medincome",62997,5776
"501","02155","ZCTA5 02155","medincome",79572,3063
"502","02163","ZCTA5 02163","medincome",51500,19283
"503","02169","ZCTA5 02169","medincome",62157,2149
"504","02170","ZCTA5 02170","medincome",71065,7056
"505","02171","ZCTA5 02171","medincome",73280,5522
"506","02176","ZCTA5 02176","medincome",87712,6572
"507","02180","ZCTA5 02180","medincome",83783,6346
"508","02184","ZCTA5 02184","medincome",85863,4364
"509","02186","ZCTA5 02186","medincome",122516,5558
"510","02188","ZCTA5 02188","medincome",75129,6629
"511","02189","ZCTA5 02189","medincome",51653,7049
"512","02190","ZCTA5 02190","medincome",80139,4598
"513","02191","ZCTA5 02191","medincome",70731,4579
"514","02199","ZCTA5 02199","medincome",99250,47715
"515","02203","ZCTA5 02203","medincome",NA,NA
"516","02210","ZCTA5 02210","medincome",155313,24026
"517","02215","ZCTA5 02215","medincome",40115,5620
"518","02301","ZCTA5 02301","medincome",44873,2290
"519","02302","ZCTA5 02302","medincome",61527,3051
"520","02322","ZCTA5 02322","medincome",68021,7999
"521","02324","ZCTA5 02324","medincome",85992,7361
"522","02330","ZCTA5 02330","medincome",75260,5156
"523","02332","ZCTA5 02332","medincome",119428,6963
"524","02333","ZCTA5 02333","medincome",82823,8312
"525","02338","ZCTA5 02338","medincome",73119,13146
